"Data exported from:",http://scotssyntaxatlas.ac.uk/api/v1/csv/attributes
pid,code,pname,pdesc,atname,atdescription,aid,soundclips
2,a41,"PARTICIPLES - PROGRESSIVE STATIVES",,"<b>I'm thinking</b> he'll be late in this weather.",,24,"https://scotssyntaxatlas.ac.uk/feature-sound-clips/a41-153.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/a41-154.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/a41-155.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/a41-156.mp3"
2,a42,"PARTICIPLES - PROGRESSIVE STATIVES",,"<b>I'm doubting</b> it'll be a problem.",,25
2,a43,"PARTICIPLES - PROGRESSIVE STATIVES",,"<b>I'm forgetting</b> that you don't have milk in your tea.",,26
2,a44,"PARTICIPLES - PROGRESSIVE STATIVES",,"<b>I'm forgetting</b> your name.",,27
2,a46,"PARTICIPLES - PROGRESSIVE STATIVES",,"<b>Are you minding</b> that we're going out tonight?",,28,"https://scotssyntaxatlas.ac.uk/feature-sound-clips/a46-143.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/a46-144.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/a46-145.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/a46-146.mp3"
2,a47,"PARTICIPLES - PROGRESSIVE STATIVES",,"<b>Are you remembering</b> where we're parked?",,29
2,a49,"PARTICIPLES - PROGRESSIVE STATIVES",,"<b>I'm no understanding</b> what you're saying.",,30
2,a50,"PARTICIPLES - PROGRESSIVE STATIVES",,"<b>I'm liking</b> your new haircut.",,31
2,A51,"PARTICIPLES - PROGRESSIVE STATIVES",,"<b>I'm loving</b> your new jacket.",,32
2,A52,"PARTICIPLES - PROGRESSIVE STATIVES",,"<b>I'm hearing</b> you're home this weekend.",,33
2,A53,"PARTICIPLES - PROGRESSIVE STATIVES",,"<b>I'm no intending</b> to leave until ten o'clock.",,34
2,A54,"PARTICIPLES - PROGRESSIVE STATIVES",,"<b>I'm no caring</b> how daft it looks.",,35,"https://scotssyntaxatlas.ac.uk/feature-sound-clips/A54-44.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/A54-45.mp3"
2,A55,"PARTICIPLES - PROGRESSIVE STATIVES",,"<b>I'm knowing</b> how to get there.",,36
2,a56,"PARTICIPLES - PROGRESSIVE STATIVES",,"<b>I'm seeing</b> you've got a new car.",,37
41,n30,"POLARITY - AMN'T",," I <b>amn't</b> ready!",,254
41,n31,"POLARITY - AMN'T",,"I'm coming with you, <b>amn't</b> I?",,255
28,s1,"POLARITY - ELLIPSIS",,"<b>So he is</b>.",,253,"https://scotssyntaxatlas.ac.uk/feature-sound-clips/s1-91.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/s1-92.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/s1-94.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/s1-95.mp3"
28,s2,"POLARITY - ELLIPSIS",,"<b>Neither he is</b>, I'm thinking of someone else.",,290
28,s3,"POLARITY - ELLIPSIS",,"It's a lovely day, <b>so it is</b>.",,269,"https://scotssyntaxatlas.ac.uk/feature-sound-clips/s3-86.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/s3-88.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/s3-261.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/s3-262.mp3"
28,s4,"POLARITY - ELLIPSIS",,"It's no a very nice day, <b>neither it is</b>.",,241
56,d16,"POLARITY - EMPHATIC POLARITY",,"I <b>div</b> like a scone!",,80,"https://scotssyntaxatlas.ac.uk/feature-sound-clips/d16-263.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/d16-264.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/d16-265.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/d16-266.mp3"
56,n11,"POLARITY - EMPHATIC POLARITY",,"Naw I'm <b>arnae</b>!",,199
56,u1,"POLARITY - EMPHATIC POLARITY",,"Aye <b>he can that</b>.",,291
56,u3,"POLARITY - EMPHATIC POLARITY",,"Aye <b>he will that</b>.",,243
39,n20,"POLARITY - INT",,"She's coming for dinner next week, <b>int she</b>?",,129,"https://scotssyntaxatlas.ac.uk/feature-sound-clips/n20-111.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/n20-112.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/n20-113.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/n20-138.mp3"
39,n21,"POLARITY - INT",,"She gets a paper every morning, <b>dint she</b>?",,130,"https://scotssyntaxatlas.ac.uk/feature-sound-clips/n21-114.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/n21-115.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/n21-116.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/n21-117.mp3"
39,n22,"POLARITY - INT",," She was there early, <b>wint she</b>?",,131,"https://scotssyntaxatlas.ac.uk/feature-sound-clips/n22-134.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/n22-135.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/n22-136.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/n22-137.mp3"
39,n23,"POLARITY - INT",,"She's been there before, <b>hint she</b>?",,132,"https://scotssyntaxatlas.ac.uk/feature-sound-clips/n23-267.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/n23-268.mp3"
39,n26,"POLARITY - INT",,"<b>Hint she</b> been there before?",,133
39,n28,"POLARITY - INT",,"<b>Wint she</b> here earlier?",,134
39,n34,"POLARITY - INT",,"<b>Wint it</b> just a lovely day!",,137
39,n38,"POLARITY - INT",,"There's nothing like a cup of tea, <b>int there no</b>?",,138
